20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[31]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[32]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[33]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[34]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[35]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[36]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[37]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[38]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[39]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[40]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[41]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[42]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[43]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[44]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[45]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[46]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[47]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[48]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[49]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[50]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[51]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[52]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[53]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[54]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[55]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[56]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[57]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[58]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[59]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[60]
20240906|110412|login           |login_proceduer     |37  |DBG|Connect Server Success!
20240906|110412|login           |login_proceduer     |44  |DBG|Send Data Success!
20240906|110412|login           |login_proceduer     |49  |ERR|Receive Data[12:Hello World!]
20240906|110412|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240906|110412|login           |login_proceduer     |22  |DBG|Server port[21001]
20240906|110412|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[61]
